10890,"Demand to build military infrastructure, not specified","While Mattis did not go that far, his tough talk is in line with Trump, who wants NATO members to adopt a plan to boost military funding to 2 percent of each country's gross domestic product "
10890,"Demand to build military infrastructure, not specified","Citing danger from Russia, Mattis told the closed meeting of ministers they must adopt a plan this year that sets dates for governments to meet a military funding goal of 2 percent of gross domestic product "
10890,"Demand to build military infrastructure, not specified"," Nato allies are bracing themselves for tough American demands to intensify military spending, as they seek clarity from James Mattis, the new US defence secretary, on Donald Trumpês policy towards the alliance "
10890,"Demand to build military infrastructure, not specified", American demands reached the embassy yesterday warning that defense agreements would be broken off if Japan did not increase military spending this season 
10890,"Demand to build military infrastructure, not specified", The general suggested several new aircraft carriers were necessary 
10890,"Demand to build military infrastructure, not specified", After the security advisor resigned congressmen urged the president to appointment a new one immediately 
10890,"Demand to build military infrastructure, not specified", Negotiations between the U.S. and Russia stalled as both sides demanded massive increases in nuclear weapon reduction 
10890,"Demand to build military infrastructure, not specified", Citizens demanded the country sign on to the non-proliferation treaty 
10890,"Demand to build military infrastructure, not specified", Soldiers asked for additional planes to replace older models 
10890,"Demand to build military infrastructure, not specified", Taiwanese citizens demanded the government further modernize their military to deal with China's possible threat in the future 
10890,"Demand to build military infrastructure, not specified", Russia has demanded that Syria buikd a new air base to accomodate fighter jets as fighting resumed on Tuesday. 
10890,"Demand to build military infrastructure, not specified", president buhari yesterday at the gala night reiterated he would cut spending on refugee support and used those fund instead in acquiring more weapons and craft for the defense ministry.
10897,"Demand to build/increase economic infrastructure, not specified",The citizens demanded an economic accountabiliy board be established 
10897,"Demand to build/increase economic infrastructure, not specified", Congress demanded the U.S. sign new BITs 
10897,"Demand to build/increase economic infrastructure, not specified", A group of lesser developed nations requested foreign aid for building of communications systems 
10897,"Demand to build/increase economic infrastructure, not specified", The agency requested funding for the buying of new vehicles for product transportation 
10897,"Demand to build/increase economic infrastructure, not specified", Citizens proposed a new tax on soda distributors 
10897,"Demand to build/increase economic infrastructure, not specified", The government recently levied an additional tax on soda distributors 
